metric_type,sensor_type,px,py,vx,vy,ro,phi,ro_dot
prediction,none,0.139650,0.267141,-1.242571,-2.376961,0,0,0
prediction,none,0.212624,0.862001,-0.116709,3.570632,0,0,0
update,radar,0.212624,0.862001,-0.116709,3.570632,0.887837,1.328961,3.438777
prediction,none,-0.554318,0.874003,-7.437332,2.347897,0,0,0
prediction,none,-0.653107,0.798444,-4.527036,1.527236,0,0,0
update,radar,-0.653107,0.798444,-4.527036,1.527236,1.031533,2.256402,4.048392
prediction,none,-0.929726,0.694398,-4.599974,1.266104,0,0,0
prediction,none,-1.153375,0.740446,-4.571147,1.242140,0,0,0
update,radar,-1.153375,0.740446,-4.571146,1.242140,1.370597,2.570875,4.517730
prediction,none,-1.402540,0.752195,-4.664693,1.035888,0,0,0
prediction,none,-1.609340,0.789233,-4.581953,1.027547,0,0,0
update,radar,-1.609340,0.789233,-4.581953,1.027547,1.792446,2.685648,4.566325
prediction,none,-1.832221,0.775984,-4.520365,0.735900,0,0,0
prediction,none,-2.004511,0.802587,-4.381779,0.756023,0,0,0
update,radar,-2.004510,0.802587,-4.381779,0.756023,2.159215,2.760750,4.348847
prediction,none,-2.266799,0.777903,-4.572277,0.522068,0,0,0
prediction,none,-2.498067,0.804963,-4.577858,0.523614,0,0,0
update,radar,-2.498067,0.804963,-4.577858,0.523614,2.624558,2.829864,4.517822
prediction,none,-2.806613,0.682008,-4.865350,-0.007379,0,0,0
prediction,none,-3.036778,0.710411,-4.826285,0.094737,0,0,0
update,radar,-3.036778,0.710411,-4.826285,0.094737,3.118766,2.911790,4.720988
prediction,none,-3.289338,0.718552,-4.789487,0.087062,0,0,0
prediction,none,-3.528146,0.754241,-4.777540,0.187231,0,0,0
update,radar,-3.528146,0.754241,-4.777540,0.187231,3.607866,2.930984,4.711116
prediction,none,-3.776936,0.715033,-4.809058,0.033743,0,0,0
prediction,none,-4.023285,0.646315,-4.840012,-0.182702,0,0,0
update,radar,-4.023285,0.646315,-4.840012,-0.182702,4.074867,2.982310,4.749766
prediction,none,-4.259679,0.692034,-4.881915,-0.007230,0,0,0
prediction,none,-4.540447,0.623312,-4.962462,-0.213947,0,0,0
update,radar,-4.540447,0.623312,-4.962462,-0.213947,4.583031,3.005166,4.887254
prediction,none,-4.780183,0.617047,-4.950239,-0.199768,0,0,0
prediction,none,-5.010940,0.681575,-4.907034,0.014940,0,0,0
update,radar,-5.010940,0.681575,-4.907034,0.014940,5.057081,3.006405,4.864276
prediction,none,-5.235511,0.761532,-4.936355,0.250071,0,0,0
prediction,none,-5.492770,0.758643,-4.956732,0.206559,0,0,0
update,radar,-5.492770,0.758643,-4.956732,0.206559,5.544913,3.004344,4.938381
prediction,none,-5.765141,0.734785,-5.092041,0.122105,0,0,0
prediction,none,-5.975973,0.846035,-5.001542,0.410550,0,0,0
update,radar,-5.975973,0.846035,-5.001542,0.410550,6.035563,3.000955,5.009710
prediction,none,-6.190877,0.944666,-4.753462,0.600457,0,0,0
prediction,none,-6.375588,0.962961,-4.665792,0.573190,0,0,0
update,radar,-6.375588,0.962961,-4.665792,0.573190,6.447901,2.991687,4.699069
prediction,none,-6.641416,1.007852,-4.954330,0.646917,0,0,0
prediction,none,-6.912247,0.994818,-4.999954,0.526143,0,0,0
update,radar,-6.912247,0.994818,-4.999954,0.526143,6.983468,2.998653,5.023913
prediction,none,-7.152578,1.021730,-5.002533,0.531263,0,0,0
prediction,none,-7.389056,1.124943,-4.968781,0.730190,0,0,0
update,radar,-7.389056,1.124943,-4.968781,0.730190,7.474198,2.990508,5.022080
prediction,none,-7.637641,1.105440,-4.920307,0.577437,0,0,0
prediction,none,-7.869032,1.152938,-4.893166,0.626484,0,0,0
update,radar,-7.869032,1.152938,-4.893166,0.626484,7.953046,2.996112,4.932296
prediction,none,-8.082470,1.189381,-4.835873,0.642590,0,0,0
prediction,none,-8.310143,1.220135,-4.812364,0.640740,0,0,0
update,radar,-8.310143,1.220135,-4.812364,0.640740,8.399239,2.995810,4.854394
prediction,none,-8.545142,1.340112,-4.851748,0.872427,0,0,0
prediction,none,-8.775760,1.371558,-4.833238,0.843399,0,0,0
update,radar,-8.775760,1.371558,-4.833238,0.843399,8.882294,2.986557,4.905501
prediction,none,-8.967344,1.399618,-4.490694,0.773271,0,0,0
prediction,none,-9.186965,1.509514,-4.473443,0.950328,0,0,0
update,radar,-9.186965,1.509514,-4.473444,0.950328,9.310153,2.978737,4.568336
prediction,none,-9.438016,1.531772,-4.729305,0.918048,0,0,0
prediction,none,-9.698623,1.542101,-4.774380,0.827339,0,0,0
update,radar,-9.698623,1.542101,-4.774380,0.827339,9.820457,2.983911,4.845065
prediction,none,-9.956620,1.533759,-4.903925,0.715997,0,0,0
prediction,none,-10.232956,1.694341,-4.940410,1.016981,0,0,0
update,radar,-10.232956,1.694341,-4.940411,1.016981,10.372279,2.977504,5.040176
prediction,none,-10.445264,1.834416,-4.788972,1.227921,0,0,0
