metric_type,sensor_type,px,py,vx,vy,ro,phi,ro_dot
prediction,none,-10.637851,1.940345,-4.704769,1.342658,0,0,0
update,radar,-10.637852,1.940345,-4.704769,1.342658,10.813363,2.961176,4.869332
prediction,none,-10.905128,2.035099,-4.881486,1.429297,0,0,0
prediction,none,-11.140345,2.085184,-4.869339,1.378966,0,0,0
update,radar,-11.140345,2.085184,-4.869339,1.378966,11.333811,2.956560,5.039920
prediction,none,-11.363202,2.180989,-4.817442,1.445173,0,0,0
prediction,none,-11.541463,2.354163,-4.698512,1.697984,0,0,0
update,radar,-11.541464,2.354163,-4.698512,1.697984,11.779112,2.940378,4.943075
prediction,none,-11.782743,2.437147,-4.715475,1.693481,0,0,0
prediction,none,-12.015869,2.596024,-4.700758,1.871387,0,0,0
update,radar,-12.015868,2.596024,-4.700758,1.871387,12.293105,2.928813,4.989940
prediction,none,-12.277210,2.721279,-4.832282,1.963286,0,0,0
prediction,none,-12.519725,2.862592,-4.827614,2.065750,0,0,0
update,radar,-12.519726,2.862592,-4.827614,2.065750,12.842817,2.916810,5.166608
prediction,none,-12.751699,2.933544,-4.729247,1.969280,0,0,0
prediction,none,-12.958419,3.116326,-4.666039,2.175038,0,0,0
update,radar,-12.958419,3.116326,-4.666039,2.175038,13.327869,2.905588,5.045264
prediction,none,-13.179459,3.240784,-4.616392,2.208672,0,0,0
prediction,none,-13.369411,3.437789,-4.533279,2.421604,0,0,0
update,radar,-13.369411,3.437789,-4.533279,2.421604,13.804330,2.889907,4.993523
prediction,none,-13.551694,3.536802,-4.393044,2.361149,0,0,0
prediction,none,-13.729102,3.681143,-4.316481,2.432635,0,0,0
update,radar,-13.729102,3.681143,-4.316481,2.432635,14.214045,2.879627,4.799217
prediction,none,-13.961360,3.847361,-4.358046,2.540046,0,0,0
prediction,none,-14.163445,3.950797,-4.334829,2.488891,0,0,0
update,radar,-14.163445,3.950797,-4.334829,2.488891,14.704147,2.869564,4.844158
prediction,none,-14.349304,4.110983,-4.190276,2.556175,0,0,0
prediction,none,-14.534457,4.281288,-4.141045,2.661100,0,0,0
update,radar,-14.534457,4.281288,-4.141045,2.661100,15.151893,2.855133,4.724214
prediction,none,-14.758306,4.437237,-4.120140,2.696315,0,0,0
prediction,none,-14.935393,4.661928,-4.054176,2.911961,0,0,0
update,radar,-14.935393,4.661928,-4.054176,2.911961,15.646071,2.839036,4.737679
prediction,none,-15.129495,4.811275,-3.991566,2.907643,0,0,0
prediction,none,-15.268777,4.995487,-3.879840,3.013464,0,0,0
update,radar,-15.268777,4.995487,-3.879840,3.013464,16.065193,2.825399,4.624540
prediction,none,-15.442658,5.128508,-3.790187,2.958078,0,0,0
prediction,none,-15.621077,5.362871,-3.754268,3.159643,0,0,0
update,radar,-15.621078,5.362871,-3.754268,3.159642,16.516006,2.810890,4.576800
prediction,none,-15.767031,5.544273,-3.527968,3.172662,0,0,0
prediction,none,-15.968941,5.661093,-3.580872,3.069719,0,0,0
update,radar,-15.968942,5.661093,-3.580872,3.069719,16.942699,2.800909,4.400756
prediction,none,-16.140623,5.789282,-3.579532,3.015821,0,0,0
prediction,none,-16.260737,6.011208,-3.461826,3.195164,0,0,0
update,radar,-16.260738,6.011208,-3.461826,3.195164,17.336269,2.787498,4.354953
prediction,none,-16.421295,6.157689,-3.350276,3.132661,0,0,0
prediction,none,-16.541940,6.453029,-3.238635,3.461400,0,0,0
update,radar,-16.541941,6.453030,-3.238635,3.461400,17.756052,2.769649,4.275152
prediction,none,-16.677330,6.568939,-3.104821,3.297900,0,0,0
prediction,none,-16.828965,6.795177,-3.085117,3.437529,0,0,0
update,radar,-16.828966,6.795177,-3.085117,3.437529,18.149065,2.757833,4.147758
prediction,none,-16.993274,6.989633,-3.126555,3.497967,0,0,0
prediction,none,-17.188894,7.275081,-3.171527,3.734151,0,0,0
update,radar,-17.188894,7.275081,-3.171527,3.734151,18.665071,2.741211,4.376158
prediction,none,-17.298051,7.471189,-2.906799,3.694535,0,0,0
prediction,none,-17.379707,7.787799,-2.762897,4.010330,0,0,0
update,radar,-17.379707,7.787799,-2.762897,4.010330,19.044790,2.720322,4.161242
prediction,none,-17.519154,7.965836,-2.783871,3.965274,0,0,0
prediction,none,-17.637380,8.118233,-2.757066,3.870204,0,0,0
update,radar,-17.637381,8.118233,-2.757066,3.870204,19.416048,2.710218,4.122705
prediction,none,-17.739401,8.337401,-2.588967,3.893792,0,0,0
prediction,none,-17.874728,8.596618,-2.583854,4.034754,0,0,0
update,radar,-17.874729,8.596619,-2.583854,4.034754,19.834511,2.693311,4.077283
prediction,none,-17.944783,8.758174,-2.307897,3.875630,0,0,0
prediction,none,-17.990858,9.098827,-2.145711,4.223406,0,0,0
update,radar,-17.990858,9.098827,-2.145711,4.223406,20.160845,2.673358,3.820833
prediction,none,-18.054313,9.319784,-1.874622,4.161023,0,0,0
prediction,none,-18.034546,9.694151,-1.625137,4.565673,0,0,0
update,radar,-18.034546,9.694151,-1.625137,4.565673,20.474897,2.648372,3.593128
prediction,none,-18.091083,9.935225,-1.490789,4.554832,0,0,0
prediction,none,-18.173843,10.171678,-1.503659,4.570811,0,0,0
update,radar,-18.173843,10.171678,-1.503659,4.570811,20.826704,2.631342,3.544491
prediction,none,-18.263339,10.350971,-1.469292,4.413452,0,0,0
prediction,none,-18.248187,10.656174,-1.282257,4.629018,0,0,0
update,radar,-18.248188,10.656174,-1.282257,4.629018,21.131739,2.613052,3.441576
prediction,none,-18.341243,10.891906,-1.428196,4.684128,0,0,0
prediction,none,-18.406694,11.072656,-1.431738,4.571524,0,0,0
update,radar,-18.406694,11.072657,-1.431738,4.571524,21.480459,2.600030,3.583372
prediction,none,-18.447926,11.278259,-1.213609,4.428082,0,0,0
prediction,none,-18.400309,11.728474,-0.946707,4.958238,0,0,0
update,radar,-18.400309,11.728474,-0.946707,4.958238,21.820368,2.574122,3.463382
prediction,none,-18.434562,11.966542,-0.835054,4.881987,0,0,0
prediction,none,-18.465213,12.221024,-0.811123,4.908271,0,0,0
update,radar,-18.465214,12.221025,-0.811123,4.908271,22.143116,2.556939,3.385325
prediction,none,-18.500090,12.458756,-0.821183,4.906963,0,0,0
prediction,none,-18.536033,12.744353,-0.799748,4.993811,0,0,0
update,radar,-18.536034,12.744353,-0.799748,4.993812,22.494511,2.539275,3.488276
prediction,none,-18.535095,12.993168,-0.573374,4.901822,0,0,0
prediction,none,-18.533422,13.302321,-0.496406,5.047827,0,0,0
update,radar,-18.533422,13.302320,-0.496406,5.047827,22.813143,2.519055,3.346664
prediction,none,-18.511161,13.487355,-0.172420,4.733557,0,0,0
prediction,none,-18.428588,13.828778,0.034553,4.987025,0,0,0
update,radar,-18.428587,13.828778,0.034553,4.987025,23.040136,2.497837,2.965595
prediction,none,-18.407691,14.095902,0.158022,4.968766,0,0,0
prediction,none,-18.358003,14.373509,0.247926,5.045304,0,0,0
update,radar,-18.358004,14.373509,0.247926,5.045303,23.315533,2.477331,2.915107
prediction,none,-18.310650,14.610372,0.495850,4.876341,0,0,0
prediction,none,-18.262286,14.829564,0.534287,4.834961,0,0,0
update,radar,-18.262285,14.829564,0.534287,4.834960,23.525030,2.459558,2.633070
prediction,none,-18.188114,15.050240,0.846682,4.619264,0,0,0
prediction,none,-18.075705,15.356401,1.007833,4.799806,0,0,0
update,radar,-18.075705,15.356401,1.007833,4.799807,23.718140,2.437354,2.339579
prediction,none,-18.012813,15.612695,1.024387,4.850452,0,0,0
prediction,none,-17.932074,15.863314,1.085362,4.878251,0,0,0
update,radar,-17.932074,15.863314,1.085362,4.878251,23.941679,2.417332,2.419313
prediction,none,-17.857828,16.070933,1.152881,4.775776,0,0,0
prediction,none,-17.761523,16.316481,1.232074,4.804232,0,0,0
update,radar,-17.761522,16.316481,1.232074,4.804232,24.118441,2.398573,2.342798
prediction,none,-17.736987,16.552335,1.109255,4.825314,0,0,0
prediction,none,-17.552085,16.847811,1.386123,4.983013,0,0,0
update,radar,-17.552086,16.847811,1.386123,4.983013,24.329496,2.376665,2.450668
prediction,none,-17.401031,17.003149,1.828230,4.518372,0,0,0
prediction,none,-17.280481,17.263798,1.898271,4.598230,0,0,0
update,radar,-17.280481,17.263798,1.898271,4.598230,24.426497,2.356678,1.906941
prediction,none,-17.128816,17.429897,2.268054,4.206165,0,0,0
prediction,none,-16.953696,17.740019,2.425854,4.425687,0,0,0
update,radar,-16.953695,17.740019,2.425853,4.425686,24.538462,2.333534,1.523509
prediction,none,-16.794008,17.913009,2.613296,4.208649,0,0,0
prediction,none,-16.661895,18.136790,2.620595,4.235244,0,0,0
update,radar,-16.661896,18.136789,2.620595,4.235244,24.628477,2.313836,1.345988
prediction,none,-16.502128,18.322603,2.744895,4.111838,0,0,0
prediction,none,-16.340615,18.464616,2.774233,3.997455,0,0,0
update,radar,-16.340614,18.464617,2.774233,3.997455,24.656799,2.295245,1.155008
prediction,none,-16.202290,18.649435,2.796683,3.934530,0,0,0
prediction,none,-16.009588,18.886326,2.919354,4.030868,0,0,0
update,radar,-16.009588,18.886326,2.919354,4.030868,24.758842,2.273943,1.187076
prediction,none,-15.820300,19.050923,3.146552,3.792291,0,0,0
prediction,none,-15.596627,19.325223,3.312543,3.977620,0,0,0
update,radar,-15.596627,19.325222,3.312543,3.977620,24.833828,2.249828,1.014901
prediction,none,-15.403373,19.472186,3.516767,3.676323,0,0,0
prediction,none,-15.213398,19.697531,3.559955,3.759959,0,0,0
update,radar,-15.213398,19.697531,3.559955,3.759959,24.888556,2.228449,0.799681
prediction,none,-14.998514,19.829173,3.793703,3.430172,0,0,0
prediction,none,-14.756963,20.063510,3.923736,3.565861,0,0,0
update,radar,-14.756963,20.063509,3.923736,3.565861,24.906071,2.204961,0.547708
prediction,none,-14.577283,20.190255,3.988166,3.296023,0,0,0
prediction,none,-14.460034,20.304626,3.796923,3.175020,0,0,0
update,radar,-14.460034,20.304626,3.796923,3.175020,24.927303,2.189633,0.383674
prediction,none,-14.266950,20.425498,3.830754,3.047304,0,0,0
prediction,none,-13.992983,20.625111,4.022166,3.161519,0,0,0
update,radar,-13.992983,20.625111,4.022166,3.161519,24.923861,2.166908,0.358073
prediction,none,-13.758571,20.724416,4.210389,2.854329,0,0,0
prediction,none,-13.571512,20.871840,4.161433,2.855691,0,0,0
update,radar,-13.571512,20.871840,4.161433,2.855691,24.896177,2.147334,0.125585
prediction,none,-13.338596,20.962631,4.324735,2.564843,0,0,0
prediction,none,-13.074442,21.109113,4.434076,2.612776,0,0,0
update,radar,-13.074442,21.109114,4.434076,2.612776,24.830137,2.125340,-0.113559
prediction,none,-12.811223,21.209502,4.591758,2.441175,0,0,0
prediction,none,-12.527732,21.378941,4.723747,2.543131,0,0,0
update,radar,-12.527732,21.378941,4.723747,2.543131,24.779087,2.100847,-0.194050
prediction,none,-12.287174,21.483471,4.768998,2.426550,0,0,0
prediction,none,-11.996693,21.632079,4.891273,2.490306,0,0,0
update,radar,-11.996693,21.632078,4.891273,2.490306,24.735954,2.077148,-0.194397
prediction,none,-11.707673,21.691318,5.096920,2.144070,0,0,0
prediction,none,-11.551318,21.784337,4.875588,2.092555,0,0,0
update,radar,-11.551318,21.784338,4.875588,2.092555,24.657461,2.058356,-0.435347
prediction,none,-11.285778,21.849097,4.992870,1.866984,0,0,0
prediction,none,-11.016066,21.887650,5.021085,1.774532,0,0,0
update,radar,-11.016066,21.887650,5.021085,1.774532,24.503529,2.037081,-0.672241
prediction,none,-10.770607,21.945014,5.054319,1.601660,0,0,0
prediction,none,-10.571541,21.946914,4.912284,1.450154,0,0,0
update,radar,-10.571541,21.946915,4.912283,1.450154,24.360308,2.019686,-0.825277
prediction,none,-10.293795,21.969979,5.083967,1.122736,0,0,0
prediction,none,-10.010217,22.017589,5.147045,1.114645,0,0,0
update,radar,-10.010217,22.017590,5.147045,1.114645,24.186333,1.997507,-1.115557
prediction,none,-9.732718,22.010162,5.248086,0.837342,0,0,0
prediction,none,-9.489595,22.039402,5.201325,0.810932,0,0,0
update,radar,-9.489595,22.039402,5.201324,0.810932,23.995575,1.977379,-1.312159
prediction,none,-9.214458,22.024938,5.304421,0.511721,0,0,0
prediction,none,-9.016682,22.063647,5.156235,0.520403,0,0,0
update,radar,-9.016683,22.063646,5.156235,0.520403,23.834953,1.958752,-1.468857
prediction,none,-8.745755,22.033683,5.249246,0.223516,0,0,0
prediction,none,-8.439146,22.069767,5.355657,0.275505,0,0,0
update,radar,-8.439146,22.069767,5.355657,0.275505,23.628242,1.936026,-1.655513
prediction,none,-8.161997,22.027485,5.478827,-0.142026,0,0,0
prediction,none,-7.856124,22.047710,5.558388,-0.089020,0,0,0
update,radar,-7.856124,22.047710,5.558388,-0.089020,23.405560,1.913094,-1.949539
prediction,none,-7.554300,22.035135,5.653988,-0.225065,0,0,0
prediction,none,-7.351130,22.027109,5.473466,-0.232869,0,0,0
update,radar,-7.351130,22.027109,5.473466,-0.232869,23.221384,1.892905,-1.953613
prediction,none,-7.075146,21.951821,5.556005,-0.637481,0,0,0
prediction,none,-6.878236,21.914213,5.369510,-0.659744,0,0,0
update,radar,-6.878236,21.914213,5.369510,-0.659745,22.968302,1.874930,-2.237455
prediction,none,-6.592462,21.854243,5.439977,-0.827376,0,0,0
prediction,none,-6.481505,21.779606,5.062635,-0.907079,0,0,0
update,radar,-6.481505,21.779606,5.062635,-0.907079,22.723581,1.860045,-2.313426
prediction,none,-6.261879,21.735822,4.979532,-0.890114,0,0,0
prediction,none,-6.129854,21.680088,4.708107,-0.925192,0,0,0
update,radar,-6.129854,21.680088,4.708107,-0.925192,22.530010,1.846345,-2.171248
prediction,none,-5.875570,21.607608,4.747249,-0.971470,0,0,0
prediction,none,-5.626045,21.578243,4.779579,-0.937387,0,0,0
update,radar,-5.626045,21.578243,4.779579,-0.937387,22.299618,1.825846,-2.112919
prediction,none,-5.388708,21.471824,4.841836,-1.360172,0,0,0
prediction,none,-5.074751,21.436486,5.014808,-1.296630,0,0,0
update,radar,-5.074751,21.436487,5.014808,-1.296630,22.028982,1.803251,-2.417002
prediction,none,-4.769733,21.351293,5.164482,-1.444426,0,0,0
prediction,none,-4.551886,21.305576,5.076236,-1.403932,0,0,0
update,radar,-4.551886,21.305576,5.076237,-1.403932,21.786400,1.781280,-2.433538
prediction,none,-4.320170,21.216400,5.016464,-1.417649,0,0,0
prediction,none,-3.995423,21.240283,5.206124,-1.253211,0,0,0
update,radar,-3.995423,21.240284,5.206124,-1.253211,21.612799,1.756729,-2.194034
prediction,none,-3.709213,21.152497,5.287334,-1.436187,0,0,0
prediction,none,-3.641647,21.015793,4.816990,-1.556048,0,0,0
update,radar,-3.641647,21.015793,4.816990,-1.556048,21.328974,1.742374,-2.355639
prediction,none,-3.395251,20.845129,4.873760,-2.084012,0,0,0
prediction,none,-3.149292,20.683993,4.869700,-2.178518,0,0,0
update,radar,-3.149292,20.683992,4.869700,-2.178518,20.922371,1.721893,-2.886698
prediction,none,-2.931003,20.562606,4.813402,-2.240216,0,0,0
prediction,none,-2.657578,20.445680,4.889318,-2.247104,0,0,0
update,radar,-2.657578,20.445681,4.889318,-2.247104,20.617676,1.700054,-2.858582
prediction,none,-2.365972,20.328637,4.999441,-2.242716,0,0,0
prediction,none,-2.236785,20.181246,4.711122,-2.303652,0,0,0
update,radar,-2.236785,20.181246,4.711122,-2.303652,20.304825,1.681181,-2.808609
prediction,none,-1.994613,20.018902,4.741755,-2.601269,0,0,0
prediction,none,-1.831117,19.821605,4.560037,-2.712914,0,0,0
update,radar,-1.831117,19.821606,4.560037,-2.712914,19.906006,1.662915,-3.120881
prediction,none,-1.612722,19.631627,4.542630,-2.957617,0,0,0
prediction,none,-1.405220,19.466393,4.494351,-2.986162,0,0,0
update,radar,-1.405220,19.466393,4.494351,-2.986162,19.517046,1.642858,-3.302003
prediction,none,-1.158457,19.265089,4.551934,-3.255310,0,0,0
prediction,none,-1.019486,19.114360,4.344506,-3.233796,0,0,0
update,radar,-1.019486,19.114361,4.344506,-3.233796,19.141529,1.624082,-3.460596
prediction,none,-0.803882,18.919383,4.340990,-3.379179,0,0,0
prediction,none,-0.713346,18.744280,4.042071,-3.385191,0,0,0
update,radar,-0.713346,18.744280,4.042071,-3.385191,18.757849,1.608835,-3.536459
prediction,none,-0.492894,18.584861,4.085268,-3.311201,0,0,0
prediction,none,-0.360864,18.457508,3.918163,-3.245330,0,0,0
update,radar,-0.360864,18.457508,3.918163,-3.245330,18.461035,1.590345,-3.321299
prediction,none,-0.174742,18.256047,3.892782,-3.441497,0,0,0
prediction,none,-0.113617,18.081858,3.577260,-3.437868,0,0,0
update,radar,-0.113617,18.081858,3.577260,-3.437868,18.082214,1.577080,-3.460277
prediction,none,0.047718,17.875463,3.532386,-3.672390,0,0,0
prediction,none,0.243186,17.705009,3.577830,-3.651838,0,0,0
update,radar,0.243186,17.705009,3.577830,-3.651838,17.706678,1.557062,-3.602356
prediction,none,0.449125,17.533804,3.645673,-3.534571,0,0,0
prediction,none,0.647002,17.365056,3.682977,-3.522595,0,0,0
update,radar,0.647002,17.365055,3.682977,-3.522595,17.377104,1.533555,-3.383024
prediction,none,0.885459,17.214302,3.814483,-3.477500,0,0,0
prediction,none,0.932093,17.026915,3.473240,-3.485916,0,0,0
update,radar,0.932093,17.026915,3.473240,-3.485916,17.052408,1.516109,-3.290856
prediction,none,1.090493,16.819690,3.426118,-3.687958,0,0,0
prediction,none,1.150466,16.649131,3.163068,-3.652951,0,0,0
update,radar,1.150466,16.649130,3.163068,-3.652951,16.688831,1.501805,-3.426211
prediction,none,1.308734,16.422940,3.144288,-3.959941,0,0,0
prediction,none,1.378407,16.206827,2.936944,-3.979645,0,0,0
update,radar,1.378407,16.206827,2.936944,-3.979645,16.265339,1.485950,-3.716438
prediction,none,1.522332,15.994556,2.923763,-4.066484,0,0,0
prediction,none,1.794431,15.770290,3.221702,-4.116884,0,0,0
update,radar,1.794431,15.770289,3.221702,-4.116884,15.872051,1.457498,-3.726256
prediction,none,1.901935,15.567150,3.092540,-4.110968,0,0,0
prediction,none,1.851329,15.380042,2.607177,-4.049326,0,0,0
update,radar,1.851329,15.380042,2.607177,-4.049326,15.491066,1.451000,-3.708723
prediction,none,2.016158,15.189262,2.686362,-4.058578,0,0,0
prediction,none,2.150699,14.978963,2.687079,-4.070845,0,0,0
update,radar,2.150699,14.978963,2.687079,-4.070845,15.132575,1.428190,-3.647624
prediction,none,2.285600,14.739041,2.660667,-4.320704,0,0,0
prediction,none,2.471336,14.495333,2.786339,-4.375569,0,0,0
update,radar,2.471336,14.495333,2.786339,-4.375569,14.704494,1.401928,-3.845039
prediction,none,2.586036,14.254962,2.719740,-4.456669,0,0,0
prediction,none,2.771031,14.064251,2.833365,-4.412467,0,0,0
update,radar,2.771030,14.064251,2.833365,-4.412467,14.334635,1.376261,-3.781520
prediction,none,2.925527,13.813320,2.835829,-4.610722,0,0,0
prediction,none,3.017792,13.591824,2.718569,-4.584914,0,0,0
update,radar,3.017792,13.591825,2.718570,-4.584914,13.922814,1.352311,-3.886662
prediction,none,3.131355,13.344448,2.661930,-4.632651,0,0,0
prediction,none,3.122426,13.148492,2.324950,-4.539315,0,0,0
update,radar,3.122426,13.148492,2.324950,-4.539315,13.514155,1.337641,-3.879315
prediction,none,3.207007,12.960734,2.268625,-4.372153,0,0,0
prediction,none,3.355038,12.763022,2.347620,-4.345153,0,0,0
update,radar,3.355038,12.763021,2.347620,-4.345153,13.196628,1.313740,-3.605537
prediction,none,3.495943,12.536638,2.426156,-4.288836,0,0,0
prediction,none,3.504489,12.416860,2.150414,-4.099381,0,0,0
update,radar,3.504489,12.416860,2.150414,-4.099381,12.901932,1.295715,-3.361151
prediction,none,3.631481,12.190696,2.171536,-4.235440,0,0,0
prediction,none,3.765426,11.971659,2.231881,-4.254531,0,0,0
update,radar,3.765426,11.971659,2.231881,-4.254530,12.549863,1.266065,-3.388866
prediction,none,3.843003,11.757357,2.143498,-4.272973,0,0,0
prediction,none,3.993873,11.534366,2.246744,-4.301492,0,0,0
update,radar,3.993873,11.534366,2.246744,-4.301492,12.206253,1.237458,-3.329586
prediction,none,4.072684,11.306240,2.115888,-4.464017,0,0,0
prediction,none,4.188035,11.038454,2.145909,-4.544128,0,0,0
update,radar,4.188035,11.038454,2.145910,-4.544128,11.806231,1.208170,-3.487396
prediction,none,4.329074,10.829246,2.232495,-4.494815,0,0,0
prediction,none,4.346966,10.673924,2.002692,-4.342876,0,0,0
update,radar,4.346966,10.673924,2.002692,-4.342876,11.525137,1.184055,-3.266764
prediction,none,4.414724,10.452039,1.894466,-4.420212,0,0,0
prediction,none,4.508058,10.238878,1.889587,-4.405906,0,0,0
update,radar,4.508058,10.238878,1.889587,-4.405906,11.187368,1.156048,-3.270936
prediction,none,4.621900,10.004206,1.922956,-4.470522,0,0,0
prediction,none,4.666962,9.791856,1.803650,-4.432610,0,0,0
update,radar,4.666962,9.791856,1.803650,-4.432610,10.847164,1.126030,-3.225351
prediction,none,4.761595,9.561113,1.766459,-4.550537,0,0,0
prediction,none,4.795600,9.378269,1.631873,-4.450187,0,0,0
update,radar,4.795600,9.378268,1.631873,-4.450188,10.533266,1.098108,-3.219253
prediction,none,4.830086,9.227488,1.524567,-4.264153,0,0,0
prediction,none,4.860287,8.982190,1.429420,-4.305156,0,0,0
update,radar,4.860287,8.982190,1.429420,-4.305156,10.212841,1.074810,-3.106122
prediction,none,4.961390,8.723295,1.484898,-4.440668,0,0,0
prediction,none,5.087074,8.456353,1.613288,-4.543103,0,0,0
update,radar,5.087074,8.456353,1.613288,-4.543103,9.868547,1.029224,-3.061359
prediction,none,5.223550,8.227831,1.803049,-4.466784,0,0,0
prediction,none,5.323282,7.963753,1.837092,-4.546833,0,0,0
update,radar,5.323282,7.963753,1.837092,-4.546833,9.579076,0.981568,-2.759191
prediction,none,5.453556,7.714179,1.952062,-4.573552,0,0,0
prediction,none,5.514385,7.488051,1.871197,-4.553121,0,0,0
update,radar,5.514385,7.488051,1.871197,-4.553121,9.299428,0.936040,-2.556662
prediction,none,5.643281,7.238987,1.963178,-4.600764,0,0,0
prediction,none,5.651836,7.029922,1.763833,-4.521220,0,0,0
update,radar,5.651836,7.029922,1.763833,-4.521220,9.020147,0.893640,-2.418467
prediction,none,5.761504,6.831685,1.913468,-4.340129,0,0,0
prediction,none,5.890755,6.592107,1.993109,-4.399601,0,0,0
update,radar,5.890755,6.592107,1.993109,-4.399601,8.840637,0.841524,-1.952542
prediction,none,5.911835,6.373168,1.698753,-4.499441,0,0,0
prediction,none,5.939912,6.164685,1.574600,-4.441735,0,0,0
update,radar,5.939912,6.164685,1.574600,-4.441735,8.560718,0.803965,-2.106004
prediction,none,6.017063,5.900486,1.567722,-4.550707,0,0,0
prediction,none,6.071892,5.690576,1.512169,-4.504221,0,0,0
