metric_type,sensor_type,px,py,vx,vy,ro,phi,ro_dot
update,radar,15.732417,3.834803,4.441312,2.687292,16.193043,0.239089,4.951375
prediction,none,15.941715,3.943423,4.368037,2.614994,0,0,0
prediction,none,16.163879,4.097119,4.371102,2.667595,0,0,0
update,radar,16.163879,4.097118,4.371102,2.667595,16.675053,0.248245,4.892543
prediction,none,16.352491,4.227815,4.151699,2.623373,0,0,0
prediction,none,16.544073,4.453894,4.109802,2.847507,0,0,0
update,radar,16.544073,4.453894,4.109802,2.847507,17.133112,0.262979,4.708740
prediction,none,16.760262,4.598554,4.130096,2.850848,0,0,0
prediction,none,16.932336,4.782625,4.064370,2.955444,0,0,0
update,radar,16.932337,4.782625,4.064370,2.955443,17.594816,0.275284,4.714687
prediction,none,17.073410,4.928483,3.682636,2.885004,0,0,0
prediction,none,17.225033,5.199283,3.605637,3.185048,0,0,0
update,radar,17.225033,5.199283,3.605637,3.185048,17.992617,0.293148,4.372192
prediction,none,17.399338,5.331084,3.553420,3.107718,0,0,0
prediction,none,17.548661,5.538540,3.495351,3.234874,0,0,0
update,radar,17.548662,5.538540,3.495351,3.234874,18.401928,0.305716,4.306898
prediction,none,17.708135,5.660633,3.394783,3.120025,0,0,0
prediction,none,17.895640,5.795924,3.429364,3.067715,0,0,0
update,radar,17.895639,5.795924,3.429364,3.067715,18.810812,0.313213,4.207735
prediction,none,18.042474,5.952784,3.267873,3.042752,0,0,0
prediction,none,18.207201,6.191736,3.253962,3.240361,0,0,0
update,radar,18.207201,6.191736,3.253962,3.240361,19.231218,0.327802,4.123971
prediction,none,18.364942,6.376504,3.223975,3.288280,0,0,0
prediction,none,18.474885,6.673616,3.108985,3.604688,0,0,0
update,radar,18.474884,6.673616,3.108985,3.604688,19.643282,0.346641,4.148718
prediction,none,18.608002,6.860045,2.977187,3.590814,0,0,0
prediction,none,18.751101,7.002270,2.974551,3.508058,0,0,0
update,radar,18.751101,7.002270,2.974550,3.508058,20.015882,0.357396,4.013836
prediction,none,18.910610,7.189955,3.021305,3.544728,0,0,0
prediction,none,19.110685,7.345401,3.112052,3.480673,0,0,0
update,radar,19.110685,7.345400,3.112052,3.480673,20.473719,0.366952,4.153636
prediction,none,19.194008,7.499970,2.782684,3.376263,0,0,0
prediction,none,19.264465,7.839633,2.625150,3.781554,0,0,0
update,radar,19.264465,7.839633,2.625150,3.781554,20.798544,0.386482,3.856910
prediction,none,19.391648,8.020903,2.596954,3.755381,0,0,0
prediction,none,19.456952,8.276557,2.467581,3.927735,0,0,0
update,radar,19.456951,8.276558,2.467581,3.927735,21.144133,0.402191,3.808136
prediction,none,19.559248,8.464664,2.427710,3.914105,0,0,0
prediction,none,19.648944,8.613886,2.381704,3.820750,0,0,0
update,radar,19.648945,8.613886,2.381704,3.820750,21.454138,0.413157,3.715343
prediction,none,19.743755,8.785785,2.236133,3.736944,0,0,0
prediction,none,19.902717,8.991877,2.316025,3.764168,0,0,0
update,radar,19.902718,8.991877,2.316025,3.764168,21.839689,0.424343,3.660406
prediction,none,19.977514,9.180739,2.102562,3.713843,0,0,0
prediction,none,20.095845,9.464357,2.102867,3.926198,0,0,0
update,radar,20.095846,9.464357,2.102867,3.926198,22.212994,0.440148,3.575288
prediction,none,20.139374,9.646362,1.805371,3.822002,0,0,0
prediction,none,20.207902,9.943552,1.740263,4.063207,0,0,0
update,radar,20.207903,9.943552,1.740263,4.063207,22.521847,0.457278,3.355399
prediction,none,20.268702,10.193770,1.687751,4.181000,0,0,0
prediction,none,20.301962,10.525567,1.564351,4.467862,0,0,0
update,radar,20.301962,10.525567,1.564350,4.467862,22.868258,0.478299,3.445219
prediction,none,20.310225,10.727465,1.238763,4.334896,0,0,0
prediction,none,20.356837,11.052721,1.182972,4.576972,0,0,0
update,radar,20.356836,11.052721,1.182972,4.576972,23.163839,0.497414,3.223540
prediction,none,20.376939,11.308272,1.041983,4.615043,0,0,0
prediction,none,20.410477,11.561634,1.001859,4.670722,0,0,0
update,radar,20.410477,11.561634,1.001859,4.670722,23.457598,0.515389,3.173795
prediction,none,20.344609,11.762668,0.472125,4.451513,0,0,0
prediction,none,20.413380,12.026969,0.544720,4.524844,0,0,0
update,radar,20.413380,12.026969,0.544720,4.524844,23.692911,0.532419,2.766217
prediction,none,20.439237,12.255807,0.620903,4.580058,0,0,0
prediction,none,20.415537,12.592569,0.489263,4.831208,0,0,0
update,radar,20.415537,12.592568,0.489263,4.831208,23.986807,0.552690,2.952701
prediction,none,20.357358,12.783732,0.057630,4.566421,0,0,0
prediction,none,20.382910,13.038163,0.092924,4.613453,0,0,0
update,radar,20.382910,13.038163,0.092924,4.613453,24.196213,0.569073,2.564245
prediction,none,20.374576,13.232549,-0.040552,4.460565,0,0,0
prediction,none,20.334122,13.452285,-0.112182,4.468192,0,0,0
update,radar,20.334122,13.452285,-0.112182,4.468193,24.381151,0.584460,2.371761
prediction,none,20.295731,13.661760,-0.234169,4.407334,0,0,0
prediction,none,20.264174,13.965705,-0.296079,4.590864,0,0,0
update,radar,20.264174,13.965706,-0.296079,4.590864,24.610519,0.603429,2.361383
prediction,none,20.208398,14.153471,-0.536775,4.392284,0,0,0
prediction,none,20.136232,14.453080,-0.646866,4.577087,0,0,0
update,radar,20.136232,14.453080,-0.646866,4.577087,24.786274,0.622549,2.143427
prediction,none,20.059970,14.654530,-0.835700,4.452210,0,0,0
prediction,none,19.928445,14.956123,-1.031744,4.650968,0,0,0
update,radar,19.928446,14.956123,-1.031744,4.650968,24.916431,0.643815,1.966550
prediction,none,19.858868,15.146668,-1.119618,4.518158,0,0,0
prediction,none,19.839954,15.373695,-1.048167,4.506218,0,0,0
update,radar,19.839954,15.373694,-1.048167,4.506218,25.099287,0.659239,1.931594
prediction,none,19.704080,15.527946,-1.593397,4.064755,0,0,0
prediction,none,19.679501,15.713894,-1.480849,4.008022,0,0,0
update,radar,19.679501,15.713895,-1.480849,4.008022,25.183512,0.673820,1.343707
prediction,none,19.595891,15.886065,-1.544144,3.908803,0,0,0
prediction,none,19.468306,16.141633,-1.661325,4.051070,0,0,0
update,radar,19.468306,16.141632,-1.661325,4.051070,25.289665,0.692249,1.306767
prediction,none,19.366936,16.330068,-1.714511,4.010588,0,0,0
prediction,none,19.251542,16.526833,-1.771616,4.014298,0,0,0
update,radar,19.251543,16.526833,-1.771616,4.014297,25.372389,0.709390,1.270565
prediction,none,19.133600,16.692258,-1.963847,3.823700,0,0,0
prediction,none,18.977732,16.951899,-2.099595,3.984042,0,0,0
update,radar,18.977732,16.951899,-2.099595,3.984042,25.446436,0.729074,1.088228
prediction,none,18.811255,17.113038,-2.515786,3.646512,0,0,0
prediction,none,18.590907,17.414553,-2.742107,3.921703,0,0,0
update,radar,18.590908,17.414553,-2.742107,3.921703,25.473289,0.752738,0.679788
prediction,none,18.478449,17.621883,-2.596773,4.031860,0,0,0
prediction,none,18.242974,17.850221,-2.817529,4.124824,0,0,0
update,radar,18.242973,17.850222,-2.817529,4.124824,25.523252,0.774517,0.870928
prediction,none,18.088572,18.031965,-2.883920,4.032950,0,0,0
prediction,none,17.980122,18.222183,-2.807833,3.997044,0,0,0
update,radar,17.980122,18.222183,-2.807832,3.997044,25.599468,0.792084,0.873053
prediction,none,17.791598,18.342799,-3.114019,3.610883,0,0,0
prediction,none,17.687511,18.467774,-2.990907,3.482705,0,0,0
update,radar,17.687511,18.467773,-2.990907,3.482705,25.571600,0.806976,0.446437
prediction,none,17.557663,18.629271,-3.023596,3.365938,0,0,0
prediction,none,17.340631,18.844851,-3.173627,3.482457,0,0,0
update,radar,17.340631,18.844851,-3.173627,3.482457,25.609098,0.826944,0.413669
prediction,none,17.154956,18.955897,-3.363275,3.193183,0,0,0
prediction,none,17.003071,19.090643,-3.321661,3.138947,0,0,0
update,radar,17.003071,19.090643,-3.321661,3.138947,25.564762,0.843171,0.134797
prediction,none,16.827745,19.252510,-3.416859,3.065389,0,0,0
prediction,none,16.599026,19.377159,-3.526963,3.030921,0,0,0
update,radar,16.599026,19.377159,-3.526963,3.030921,25.514740,0.862467,0.007309
prediction,none,16.393436,19.521643,-3.712047,2.874815,0,0,0
prediction,none,16.141157,19.715893,-3.867129,2.995169,0,0,0
update,radar,16.141157,19.715893,-3.867129,2.995169,25.480452,0.884764,-0.132160
prediction,none,15.909230,19.765790,-4.067804,2.621685,0,0,0
prediction,none,15.697182,19.926371,-4.095555,2.680822,0,0,0
update,radar,15.697183,19.926371,-4.095555,2.680822,25.366549,0.903564,-0.428502
prediction,none,15.502118,20.040138,-4.064514,2.643265,0,0,0
prediction,none,15.255981,20.223745,-4.171614,2.755039,0,0,0
update,radar,15.255981,20.223745,-4.171615,2.755039,25.332684,0.924511,-0.312832
prediction,none,15.015163,20.367006,-4.337293,2.645644,0,0,0
prediction,none,14.855230,20.495895,-4.215511,2.620461,0,0,0
update,radar,14.855230,20.495895,-4.215511,2.620461,25.313229,0.943625,-0.352136
prediction,none,14.607043,20.556676,-4.409323,2.304089,0,0,0
prediction,none,14.401321,20.679110,-4.380220,2.312800,0,0,0
update,radar,14.401321,20.679110,-4.380220,2.312800,25.199675,0.962478,-0.605338
prediction,none,14.141582,20.753932,-4.591647,2.045152,0,0,0
prediction,none,13.899728,20.822394,-4.607123,1.986413,0,0,0
update,radar,13.899728,20.822393,-4.607123,1.986413,25.035465,0.982191,-0.905750
prediction,none,13.644918,20.880785,-4.761289,1.739445,0,0,0
prediction,none,13.360842,20.947102,-4.853825,1.715569,0,0,0
update,radar,13.360842,20.947102,-4.853825,1.715569,24.845385,1.003019,-1.163797
prediction,none,13.096883,20.956729,-5.031414,1.326452,0,0,0
prediction,none,12.864812,20.987640,-4.978051,1.255871,0,0,0
update,radar,12.864812,20.987640,-4.978051,1.255871,24.616751,1.020894,-1.530824
prediction,none,12.618967,21.040277,-5.025923,1.137895,0,0,0
prediction,none,12.462207,21.071807,-4.812284,1.064401,0,0,0
update,radar,12.462207,21.071808,-4.812284,1.064401,24.481171,1.036712,-1.533539
prediction,none,12.182679,21.105712,-4.980500,0.885149,0,0,0
prediction,none,11.942216,21.148319,-4.961293,0.879739,0,0,0
update,radar,11.942216,21.148319,-4.961293,0.879739,24.287197,1.056746,-1.673467
prediction,none,11.688931,21.153567,-5.058717,0.629803,0,0,0
prediction,none,11.466394,21.112832,-4.969911,0.491541,0,0,0
update,radar,11.466394,21.112831,-4.969911,0.491541,24.025608,1.073265,-1.939978
prediction,none,11.201305,21.084353,-5.066006,0.255279,0,0,0
prediction,none,11.013470,21.075151,-4.915135,0.198613,0,0,0
update,radar,11.013470,21.075151,-4.915135,0.198613,23.779373,1.089248,-2.100430
prediction,none,10.734248,21.021219,-5.046766,-0.059303,0,0,0
prediction,none,10.554383,20.978138,-4.874525,-0.149446,0,0,0
update,radar,10.554383,20.978138,-4.874525,-0.149446,23.483553,1.104661,-2.324294
prediction,none,10.276616,20.979932,-4.952033,-0.120282,0,0,0
prediction,none,9.969145,21.038335,-5.103906,0.009010,0,0,0
update,radar,9.969145,21.038336,-5.103906,0.009010,23.280796,1.128282,-2.177418
prediction,none,9.703177,21.010516,-5.198186,-0.211337,0,0,0
prediction,none,9.565309,20.962415,-4.914997,-0.306204,0,0,0
update,radar,9.565310,20.962414,-4.914997,-0.306204,23.041656,1.142709,-2.318941
prediction,none,9.314280,20.949953,-4.932626,-0.310890,0,0,0
prediction,none,9.167080,20.894804,-4.698716,-0.402984,0,0,0
update,radar,9.167080,20.894804,-4.698716,-0.402984,22.817278,1.157358,-2.256788
prediction,none,8.932554,20.836473,-4.770569,-0.668744,0,0,0
prediction,none,8.601000,20.822033,-4.984813,-0.615022,0,0,0
update,radar,8.601000,20.822033,-4.984813,-0.615022,22.528521,1.179072,-2.471551
prediction,none,8.375695,20.724689,-4.978793,-0.907432,0,0,0
prediction,none,8.086017,20.639660,-5.060041,-0.968039,0,0,0
update,radar,8.086017,20.639660,-5.060041,-0.968039,22.167076,1.197404,-2.747118
prediction,none,7.829944,20.550769,-5.112889,-1.189657,0,0,0
prediction,none,7.606913,20.464101,-5.031827,-1.243038,0,0,0
update,radar,7.606913,20.464102,-5.031826,-1.243038,21.832191,1.214905,-2.918366
prediction,none,7.367359,20.368375,-5.068330,-1.509506,0,0,0
prediction,none,7.032984,20.313978,-5.257915,-1.458391,0,0,0
update,radar,7.032984,20.313978,-5.257915,-1.458391,21.496990,1.237498,-3.098320
prediction,none,6.767710,20.214678,-5.281117,-1.577902,0,0,0
prediction,none,6.526299,20.125825,-5.226907,-1.598740,0,0,0
update,radar,6.526299,20.125824,-5.226907,-1.598740,21.157537,1.257221,-3.133083
prediction,none,6.274311,20.031016,-5.225734,-1.704728,0,0,0
prediction,none,6.063526,19.933455,-5.106914,-1.733434,0,0,0
update,radar,6.063526,19.933455,-5.106914,-1.733434,20.835281,1.275501,-3.144629
prediction,none,5.825684,19.833885,-5.100152,-1.887198,0,0,0
prediction,none,5.586211,19.736326,-5.063654,-1.894811,0,0,0
update,radar,5.586211,19.736326,-5.063654,-1.894811,20.511663,1.294969,-3.202239
prediction,none,5.314242,19.576925,-5.152709,-2.227086,0,0,0
prediction,none,5.219892,19.440296,-4.770030,-2.290636,0,0,0
update,radar,5.219892,19.440296,-4.770030,-2.290636,20.128893,1.308475,-3.449255
prediction,none,5.003002,19.279960,-4.739112,-2.488925,0,0,0
